filename	label	span_ini	span_end	term	code	sem_rel	is_abbrev	is_composite	need_context
es-S1135-76062010000300006-1	SINTOMA	638	708	área parduzca de 0,5 x 1 cm en la corteza cerebral del lóbulo parietal	128128003	NARROW	False	False	False
es-S0365-66912007001200011-1	SINTOMA	742	788	arquitectura normal de las empalizadas de Vogt	392315004	EXACT	False	False	True
es-S1699-695X2015000200010-1	SINTOMA	1327	1430	articulaciones metacarpo-falángicas, interfalángicas proximales e interfalángicas distales están libres	299061005	NARROW	False	False	False
es-S0376-78922011000100010-1	SINTOMA	612	640	asimetría de crestas ilíacas	299661006	EXACT	False	False	False
es-S1130-01082007000100009-1	SINTOMA	1015	1070	aspecto mucoso en empedrado en recto y colon transverso	128524007	NARROW	False	False	False
es-S0212-16112010000100017-1	SINTOMA	2335	2350	aspecto quiloso	23839001	EXACT	False	False	True
es-S0365-66912005001100009-2	SINTOMA	275	323	atalamia con contacto iridoendotelial periférico	371405004	NARROW	False	False	False
es-S0365-66912005001100009-2	SINTOMA	394	417	atalamia con hipertonía	371405004	NARROW	False	False	True
es-S1135-76062013000200010-1	SINTOMA	398	404	atonía	19532005	EXACT	False	False	False
es-S0211-57352011000400009-1	SINTOMA	2725	2750	atrofia cortical moderada	278849000	NARROW	False	False	False
es-S1137-66272009000500016-1	SINTOMA	2136	2149	aumento de BT	176271000119108	EXACT	True	False	True
es-S0004-06142008000300012-1	SINTOMA	2292	2341	aumento de calibre de vena porta y suprahepáticas	161991006	NARROW	False	False	False
es-S1130-01082010000700014-1	SINTOMA	1208	1247	aumento de eosinófilos en lámina propia	417967008	NARROW	False	False	False
es-S1130-01082008001000008-1	SINTOMA	371	436	aumento de la atenuación y volumen del recto anterior del abdomen	871692005	NARROW	False	False	False
es-S0210-48062004000200011-1	SINTOMA	735	787	aumento de la consistencia del epidídimo y del teste	249230006	NARROW	False	False	False
es-S0211-57352011000400009-1	SINTOMA	3989	4023	aumento de la osmolaridad urinaria	167244000	EXACT	False	False	False
es-S0365-66912004000900009-1	SINTOMA	852	902	aumento de la resistencia a la proteína c activada	421527008	EXACT	False	False	True
es-S0212-71992008000700009-1	SINTOMA	1092	1154	aumento de volumen de la parte derecha de la cara y del cuello	274755005	EXACT	False	False	False
es-S1130-05582008000400004-1	SINTOMA	820	875	aumento del tamaño de la glándula paratiroidea inferior	9092004	NARROW	False	False	False
es-S0211-69952009000600023-1	SINTOMA	444	526	aumento difuso de la fijación del lóbulo paratiroideo inferior izquierdo y derecho	73132005	NARROW	False	False	True
es-S0365-66912012000800005-1	SINTOMA	497	550	aumento marcado de la excavación papilar en ambos ojo	890396001	EXACT	False	False	True
es-S0376-78922016000200011-1	SINTOMA	1485	1513	aumento paulatino de la mama	366346006	NARROW	False	False	True
S0004-06142007000600012-1	SINTOMA	167	219	aumento progresivo de los órganos genitales externos	300479008	NARROW	False	False	False
es-S1139-76322017000100010-1	SINTOMA	289	293	aura	18618006	EXACT	False	False	False
es-S1137-66272011000300024-1	SINTOMA	2391	2428	Ausencia de cuerpo y cola pancreática	204806003	EXACT	False	False	True
es-S0210-56912008000400007-3	SINTOMA	782	806	ausencia de pulso radial	301165004	EXACT	False	False	False
es-S1699-695X2015000200010-1	SINTOMA	1148	1167	BA de codo completo	304299008	EXACT	True	False	True
es-S1130-01082008000300010-1	SINTOMA	1203	1235	Bacteriología de esputo negativa	167987009	NARROW	False	False	False
es-S1699-695X2015000200010-1	SINTOMA	803	854	balance articular (BA) de las muñecas era simétrico	299016006	EXACT	True	False	False
es-S0212-71992004001100006-1	SINTOMA	1971	1998	balance motor era simétrico	298312007	EXACT	False	False	False
es-S0378-48352006000300005-1	SINTOMA	1722	1753	banda minimonoclonal IgM lambda	285426000	NARROW	False	False	False
es-S1130-01082007001100010-1	SINTOMA	379	393	bazo homogéneo	300563005	NARROW	False	False	False
es-S1130-01082007001200014-1	SINTOMA	802	887	benzodiazepinas, mianserina, ibuprofeno y ketoprofeno en concentraciones terapéuticas	494716691000132104	NARROW	False	False	False
es-S1135-76062005000100002-1	SINTOMA	4402	4416	bolas axonales	106144008	NARROW	False	False	True
es-S0004-06142008000500009-1	SINTOMA	813	845	borramiento de la línea de psoas	609624008	NARROW	False	False	True
es-S0376-78922009000100014-1	SINTOMA	123	153	brazo izquierdo. La tumoración	309525008	EXACT	False	False	False
es-S0378-48352006000300005-1	SINTOMA	577	594	broncograma aéreo	1217293003	EXACT	False	False	False
es-S1137-66272007000500016-1	SINTOMA	1295	1330	brote oligoarticular incapacitante,	250098005	EXACT	False	False	False
es-S0211-69952016000600552-1	SINTOMA	3535	3609	brotes de actividad paroxística [ondas theta] en región temporal izquierda	251496007	NARROW	False	False	False
es-S0211-69952016000600552-1	SINTOMA	3711	3758	brotes paroxísticos bilaterales de ondas agudas	251479006	NARROW	False	False	False
es-S1887-85712016000100005-1	SINTOMA	3174	3208	buen estado vasculonervioso distal	1148973008	EXACT	False	False	False
es-S0210-48062009000400015-2	SINTOMA	775	806	buena curación de las fracturas	125163009	NARROW	False	False	False
es-S0004-06142008000300012-1	SINTOMA	2837	2862	buena función ventricular	371859008	NARROW	False	False	True
es-S0212-71992004001100006-1	SINTOMA	2598	2620	CA 15,3 estaba elevado	396701002	NARROW	False	False	False
es-S1888-75462015000400006-1	SINTOMA	1912	1958	cabeza femoral presenta un pequeño islote óseo	879910002	NARROW	False	False	True
es-S1135-76062013000200010-1	SINTOMA	1765	1797	cadáver muy pálido con livideces	56430004	EXACT	False	False	False
es-S1137-66272010000400007-1	SINTOMA	1964	1982	cadmio en la orina	441811002	NARROW	False	False	False
es-S1137-66272010000400007-1	SINTOMA	1896	1912	cadmio en sangre	274891006	NARROW	False	False	False
es-S1130-01082005001200011-1	SINTOMA	1819	1836	caídas frecuentes	279992002	EXACT	False	False	False
es-S1134-80462014000500004-1	SINTOMA	1375	1448	calcificaciones groseras en tejidos de partes blandas de cavidad torácica	280129003	NARROW	False	False	False
es-S1134-80462014000500004-1	SINTOMA	1568	1705	calcificaciones musculares en territorio pectoral, periescapular, dorsal, paravertebral y fundamentalmente en territorio glúteo izquierdo	446993003	NARROW	False	False	False
es-S0211-69952009000600023-1	SINTOMA	2037	2086	Campimetría: fuera de límites normales para el OD	19900004	NARROW	True	False	True
es-S0376-78922008000400008-1	SINTOMA	1576	1612	capa blanquecina en lengua y faringe	300243002	NARROW	False	False	False
es-S0212-16112010000100017-1	SINTOMA	1253	1281	capacidad funcional reducida	8510008	EXACT	False	False	True
es-S0211-69952012000500025-1	SINTOMA	539	618	cara anterior del antebrazo izquierdo presentaba una enorme tumoración pulsátil	448928006	NARROW	False	False	False
es-S1130-01082007001100009-1	SINTOMA	685	748	cara lateral izquierda de la ampolla rectal un área eritematosa	249632006	NARROW	False	False	False
es-S0210-48062007000300014-1	SINTOMA	141	181	caracteres sexuales secundarios normales	472992004	EXACT	False	False	False
es-S0210-48062009000600012-1	SINTOMA	3197	3228	cariotipo con resultado de 46XY	734876009	EXACT	False	False	False
es-S0210-48062007000300014-1	SINTOMA	2025	2041	Cariotipo: 46,XY	734876009	EXACT	False	False	False
es-S0210-56912008000200007-1	SINTOMA	1827	1874	catéter peritoneal (crecimiento de C. albicans)	430958003	NARROW	False	False	True
es-S1139-76322017000100010-1	SINTOMA	115	133	cefalea bitemporal	41413006	EXACT	False	False	False
es-S0212-71992004001100006-1	SINTOMA	195	234	cefalea localizada en cara y hemicráneo	162300006	EXACT	False	False	False
es-S1137-66272016000200010-1	SINTOMA	1115	1146	células gigantes multinucleadas	60401004	EXACT	False	False	False
es-S0212-71992004001100006-1	SINTOMA	3760	3783	células malignas en LCR	230156002	EXACT	True	False	True
es-S1137-66272013000100023-1	SINTOMA	2003	2022	células neoplásicas	88400008	EXACT	False	False	True
es-S0376-78922008000400008-1	SINTOMA	2891	2898	Cetonas	167288007	EXACT	False	False	True
es-S1130-01082007001100010-2	SINTOMA	140	216	cifras de amonio durante el ingreso se mantuvieron persistentemente elevadas	9360008	EXACT	False	False	False
es-S1130-01082007001100010-1	SINTOMA	733	775	cifras de amonio persistentemente elevadas	9360008	EXACT	False	False	False
es-S1130-01082008000200010-1	SINTOMA	1782	1852	circulación colateral en los ligamentos gastrohepático y periesplénico	128052008	NARROW	False	False	True
es-S1698-69462006000100003-1	SINTOMA	585	615	circunferencia craneana grande	248374004	EXACT	False	False	True
es-S0210-48062005000400012-1	SINTOMA	958	1002	citología fue positiva para células malignas	309307000	NARROW	False	False	False
es-S0212-71992000001200006-1	SINTOMA	1719	1750	CMV en cultivo celular de orina	168208008	NARROW	True	False	True
es-S0212-71992000001200006-1	SINTOMA	1622	1656	CMV en cultivo de biopsia de colon	235749000	EXACT	True	False	True
es-S1130-14732005000300004-1	SINTOMA	1489	1517	colapsa la arteria vertebral	90520006	NARROW	False	False	True
es-S0376-78922009000400011-1	SINTOMA	995	1026	colección de material purulento	128477000	EXACT	False	False	False
es-S1130-14732005000600009-1	SINTOMA	738	816	colección polilobulada, intrarraquídea, extradural que comprimía el saco dural	299736000	NARROW	False	False	True
es-S0004-06142008000300013-1	SINTOMA	1275	1281	cólico	162504001	EXACT	False	False	False
es-S1888-75462015000400006-1	SINTOMA	2107	2134	collar osteofitario femoral	271092002	NARROW	False	False	False
es-S1137-66272012000100017-1	SINTOMA	2080	2114	colonias de color amarillo pálidas	84324009	NARROW	False	False	False
es-S1137-66272012000300023-1	SINTOMA	1241	1346	colonoscopia en la que se observaron restos hemáticos por todo el trayecto explorado hasta 15 cm de ileon	313172000	NARROW	False	False	False
es-S1139-76322009000100006-1	SINTOMA	979	1002	complejos QRS estrechos	28630001	EXACT	False	False	False
es-S1139-76322016000400018-1	SINTOMA	2285	2335	compresión extrínseca 2 cm por encima de la carina	69061003	NARROW	False	False	True
es-S1130-05582003000600004-2	SINTOMA	1543	1574	compromiso del cornete inferior	249355003	NARROW	False	False	False
es-S0211-69952009000600023-1	SINTOMA	1917	1963	compromisos de la vía óptica de grado moderado	54767005	NARROW	False	False	True
es-S1135-76062013000100008-1	SINTOMA	1668	1740	concentraciones subterapéuticas de metoclopramida, ibuprofeno y diazepam	860749004	NARROW	False	False	False
es-S1134-80462015000200005-1	SINTOMA	2756	2796	Concilió el sueño de forma satisfactoria	314939008	NARROW	False	False	False
es-S0378-48352006000300005-1	SINTOMA	536	561	condensación paracardiaca	128308005	NARROW	False	False	False
es-S0211-57352013000300011-1	SINTOMA	3492	3535	conductas verbales socialmente inapropiadas	297265001	EXACT	False	False	False
es-S0004-06142008000300012-1	SINTOMA	2256	2275	congestión hepática	76281005	EXACT	False	False	False
es-S0365-66912007001200011-1	SINTOMA	551	577	conjuntivalización corneal	231929005	NARROW	False	False	False
es-S1137-66272014000200013-1	SINTOMA	2669	2700	conservación del estado general	427868000	EXACT	False	False	True
es-S1130-01082009000500007-1	SINTOMA	916	962	conservación del reflejo rectoanal inhibitorio	299866004	EXACT	False	False	False
es-S0365-66912005001100009-1	SINTOMA	1022	1046	contacto iridoendotelial	129623003	EXACT	False	False	True
es-S1137-66272013000100024-1	SINTOMA	593	627	contenido ecogénico intraarticular	167899003	NARROW	False	False	False
es-S1135-76062013000100008-1	SINTOMA	1362	1396	contenido gástrico en la vía aérea	278693002	EXACT	False	False	True
es-S1130-14732006000200011-1	SINTOMA	1898	1946	conteniendo el díploe tejido fibroso cigatricial	713668006	NARROW	False	False	True
es-S0004-06142008000700003-1	SINTOMA	894	947	contorno débilmente cálcico en pelvis en área vesical	31204009	NARROW	False	False	True
es-S1137-66272011000300024-1	SINTOMA	311	329	control metabólico	170763003	NARROW	False	False	True
es-S0376-78922016000200012-1	SINTOMA	2738	2755	convexidad lumbar	424774003	NARROW	False	False	True
es-S0210-48062004000200011-1	SINTOMA	3233	3294	Coombs directo siendo débilmente positivo a inmunoglobulina G	165773002	NARROW	False	False	False
es-S1130-01082010000700014-1	SINTOMA	343	367	coprocultivos: negativos	307811009	EXACT	False	False	False
S0004-06142007000600014-1	SINTOMA	668	725	cordón espermático derecho una imagen de señal baja en T2	300509007	NARROW	False	False	False
es-S0210-56912008000400007-3	SINTOMA	864	904	correcta localización de la endoprótesis	722810000	NARROW	False	False	False
es-S1137-66272012000300024-1	SINTOMA	834	870	correctos niveles de anticoagulación	365634009	NARROW	False	False	True
es-S0212-71992004001100006-1	SINTOMA	3541	3616	cresta iliaca presentó trabéculas artefactadas sin actividad hematopoyética	417735002	NARROW	False	False	True
es-S0212-71992004001100006-1	SINTOMA	1054	1087	crisis de sacudidas en hemicuerpo	27369003	NARROW	False	False	True
es-S0376-78922008000400008-1	SINTOMA	2907	2916	Cristales	46784006	EXACT	False	False	True
es-S1130-14732005000200009-1	SINTOMA	276	317	cuadrantanopsia homónima inferior derecha	894119008	EXACT	False	False	False
es-S0004-06142008000700003-1	SINTOMA	1340	1367	cuerpo extraño intravesical	211649008	EXACT	False	False	False
es-S1137-66272011000100013-2	SINTOMA	1141	1191	cultivo de esputo positivo para Aspergillus flavus	13290001000004109	EXACT	False	False	False
es-S1139-76322016000300008-1	SINTOMA	1817	1855	cultivo de exudado Staphycoccus aureus	406602003	NARROW	False	False	True
es-S1137-66272011000100013-2	SINTOMA	1412	1447	cultivos positivos para Aspergillus	13290001000004109	EXACT	False	False	True
es-S1137-66272007000500016-1	SINTOMA	2087	2106	datos inflamatorios	409774005	NARROW	False	False	False
es-S1888-75462016000400180-1	SINTOMA	1618	1635	D-Dímero positivo	449830004	EXACT	False	False	False
es-S0376-78922008000400008-1	SINTOMA	5237	5259	deambulación con ayuda	427512004	EXACT	False	False	False
es-S0365-66912012000800005-1	SINTOMA	1249	1284	defecto arciforme superior en el OD	332131000119107	NARROW	True	False	True
es-S0365-66912012000800005-1	SINTOMA	1290	1314	defecto central en el OI	677511000119104	NARROW	True	False	True
es-S1130-05582015000400005-1	SINTOMA	444	473	defecto en la pared abdominal	62991000119101	EXACT	False	False	True
es-S0365-66912007000200009-1	SINTOMA	594	634	defecto pupilar aferente relativo en ojo	232122003	EXACT	False	False	False
es-S0376-78922016000200012-1	SINTOMA	2488	2508	déficits funcionales	69701009	NARROW	False	False	True
es-S1699-695X2015000200010-1	SINTOMA	347	372	deformidad de las muñecas	298945002	EXACT	False	False	False
es-S1888-75462015000400006-1	SINTOMA	1455	1519	deformidad en forma de joroba en región cérvico-cefálica femoral	271092002	NARROW	False	False	False
es-S1699-695X2015000200010-1	SINTOMA	625	684	deformidad en la cara dorsal a nivel del estiloides cubital	271088009	NARROW	False	False	False
es-S1135-76062013000200010-1	SINTOMA	2570	2605	depósito de fibrina intrasinusoidal	16080000	NARROW	False	False	False
es-S0213-12852005000400003-1	SINTOMA	1624	1639	depósito de IgG	447238007	EXACT	False	False	False
es-S1137-66272012000300024-1	SINTOMA	1902	1927	derrame pleural bilateral	425802001	EXACT	False	False	False
es-S1137-66272013000100023-1	SINTOMA	1372	1397	derrame pleural bilateral	425802001	EXACT	False	False	False
es-S0210-48062004000200011-1	SINTOMA	793	836	desaparición del surco epidídimo testicular	249230006	NARROW	False	False	False
es-S0211-69952013000200018-1	SINTOMA	1925	1983	descargas bilaterales de ondas lentas, agudas y trifásicas	251479006	NARROW	False	False	False
es-S1130-01082005001200011-1	SINTOMA	2785	2867	descargas eléctricas en forma de picos-ondas en las regiones centrales del cerebro	251503006	NARROW	False	False	False
es-S1137-66272009000500016-1	SINTOMA	2793	2807	descenso de BT	124078008	EXACT	True	False	True
es-S0211-57352013000300011-1	SINTOMA	2205	2246	descompensación de síntomas psiquiátricos	75864003	EXACT	False	False	False
es-S1130-01082007001100010-1	SINTOMA	1389	1419	descompensación hidrópica leve	59927004	NARROW	False	False	True
es-S0211-57352011000400009-1	SINTOMA	183	204	desconexión del medio	704426000	NARROW	False	False	True
es-S1135-76062013000200010-1	SINTOMA	1969	2002	desgarro de la cápsula de Glisson	262795007	EXACT	False	False	False
es-S1139-76322016000300015-1	SINTOMA	1177	1204	desgarro en base del cordón	373680009	EXACT	False	False	False
es-S1698-69462006000100006-1	SINTOMA	616	632	desgaste oclusal	10017004	EXACT	False	False	False
es-S0212-71992004001100006-1	SINTOMA	1570	1596	desorientada temporalmente	19657006	EXACT	False	False	False
es-S1698-69462006000100006-1	SINTOMA	120	141	despertares nocturnos	67233009	EXACT	False	False	False
es-S1134-80462009000200004-1	SINTOMA	841	913	desplazamiento caudal de las amígdalas cerebelosas por el orificio magno	414400006	EXACT	False	False	False
es-S1130-01082009000500007-1	SINTOMA	689	736	desplazamiento de todos los órganos abdominales	249561001	NARROW	False	False	True
es-S1698-44472004000400011-1	SINTOMA	964	1015	desplazamiento lateral de las raíces de los dientes	109677007	NARROW	False	False	False
es-S1130-05582014000400006-2	SINTOMA	1082	1109	desplazamiento mediastínico	24361006	NARROW	False	False	False
es-S1130-05582003000600004-2	SINTOMA	1499	1540	destrucción del tabique intersinuso-nasal	80142000	NARROW	False	False	False
es-S2254-28842014000200009-1	SINTOMA	1222	1253	desviación de la comisura bucal	235106005	NARROW	False	False	False
es-S0213-12852003000500002-1	SINTOMA	1465	1500	desviación de la línea media dental	1231489009	EXACT	False	False	False
es-S1130-05582003000600004-2	SINTOMA	349	380	desviación de la pirámide nasal	249316004	EXACT	False	False	False
es-S0210-56912009000800006-3	SINTOMA	1034	1053	deterioro de la PIC	28073009	NARROW	True	False	True
es-S1138-123X2006000200007-1	SINTOMA	1216	1270	diapneusia antiestética en la comisura labial inferior	109803005	NARROW	False	False	False
es-S1130-05582015000400005-1	SINTOMA	63	85	dificultad de fonación	286246003	EXACT	False	False	False
es-S1887-85712014000100005-1	SINTOMA	152	194	dificultad en la articulación del lenguaje	286279003	EXACT	False	False	False
es-S1130-14732005000300004-1	SINTOMA	4473	4523	dificultad motora en ambas extremidades superiores	15634971000119107	EXACT	False	False	False
es-S0365-66912007000100009-1	SINTOMA	260	302	dificultad para abrir los párpados del ojo	366010006	NARROW	False	False	False
es-S0365-66912006000900010-1	SINTOMA	1391	1433	dificultad para realizar tareas cotidianas	365031000	NARROW	False	False	False
es-S0212-16112014000300032-1	SINTOMA	1716	1740	dificultad para respirar	230145002	EXACT	False	False	False
es-S1134-80462005000300004-1	SINTOMA	944	973	dificultades para la erección	276364001	EXACT	False	False	False
es-S1130-05582015000400005-1	SINTOMA	725	751	dificultades respiratorias	230145002	EXACT	False	False	False
es-S1130-01082009000400015-1	SINTOMA	429	484	dilatación de las vías biliares intra- y extrahepáticas	1082431000119108	NARROW	False	False	True
es-S1130-01082009000500007-1	SINTOMA	570	619	dilatación gigante del recto y el colon izquierdo	23298002	NARROW	False	False	False
es-S0211-69952009000600023-1	SINTOMA	2524	2555	dilatación y tortuosidad venosa	12856003	NARROW	False	False	False
es-S1134-80462014000500004-1	SINTOMA	4301	4312	disestesias	79151009	EXACT	False	False	False
es-S1130-14732005000300004-1	SINTOMA	615	658	disestesias en hombro y extremidad superior	298750003	NARROW	False	False	False
es-S0211-69952014000600016-1	SINTOMA	299	315	disfunción renal	236423003	EXACT	False	False	False
es-S1130-05582015000400005-1	SINTOMA	2994	3042	disminución considerable del tamaño de la lengua	249380003	NARROW	False	False	False
es-S0004-06142008000400011-2	SINTOMA	430	459	disminución de flujo vascular	21762000	EXACT	False	False	False
es-S1130-05582014000400006-2	SINTOMA	1004	1077	disminución de la luz de las vías aéreas de la región cervical y torácica	248554005	NARROW	False	False	True
es-S0211-57352011000400009-1	SINTOMA	4040	4080	disminución de la osmolaridad plasmática	267447008	EXACT	False	False	False
es-S1887-85712016000100005-1	SINTOMA	1309	1338	Disminución de la temperatura	71200009	NARROW	False	False	True
es-S1139-76322016000400018-1	SINTOMA	2518	2550	disminución del calibre traqueal	233786002	EXACT	False	False	False
es-S0211-69952009000600023-1	SINTOMA	1581	1613	dismuncion moderada de la visión	397542006	EXACT	False	False	False
es-S0212-71992005000500009-1	SINTOMA	113	130	dísnea progresiva	230145002	EXACT	False	False	False
es-S0212-71992005000600008-1	SINTOMA	2079	2105	distensión aérea abdominal	271835004	EXACT	False	False	False
es-S1888-75462015000400006-1	SINTOMA	1874	1907	distensión de la bursa ilio-psoas	726220000	NARROW	False	False	False
es-S0376-78922008000400008-1	SINTOMA	1681	1690	distermia	103002009	EXACT	False	False	False
es-S1130-14732005000300004-1	SINTOMA	1420	1449	distorsión del cordón medular	76107001	NARROW	False	False	True
es-S1130-14732005000300004-1	SINTOMA	1616	1657	distorsiona la musculatura laterocervical	298391004	EXACT	False	False	True
es-S0210-48062007000300014-1	SINTOMA	598	628	Distribución de vello androide	247537000	EXACT	False	False	True
es-S0378-48352004001000003-1	SINTOMA	1249	1265	DNA VHB positivo	165806002	EXACT	True	False	True
es-S1130-05582009000600004-1	SINTOMA	1148	1173	doble contorno mandibular	724623005	NARROW	False	False	True
es-S1134-80462009000500006-1	SINTOMA	1127	1145	dolor a la flexión	298255009	NARROW	False	False	False
es-S1888-75462015000400006-1	SINTOMA	634	675	dolor a la flexión, aducción y rotaciones	298255009	EXACT	False	False	False
es-S1889-836X2015000200005-2	SINTOMA	690	725	dolor a la movilización del antepié	299513007	NARROW	False	False	False
es-S1888-75462015000400006-1	SINTOMA	1095	1141	dolor a la palpación en la cintilla iliotibial	299372009	NARROW	False	False	False
es-S0376-78922007000300006-3	SINTOMA	294	366	dolor a la palpación sobre el trayecto tendinoso flexor del segundo dedo	423417009	NARROW	False	False	False
es-S0212-71992005000600008-1	SINTOMA	734	778	Dolor a la percusión de la columna vertebral	48926009	NARROW	False	False	False
es-S1130-01082009000400015-1	SINTOMA	211	252	dolor abdominal localizado en mesogastrio	162046002	EXACT	False	False	False
es-S1130-01082007001100009-1	SINTOMA	160	170	dolor anal	68653001	EXACT	False	False	False
es-S0004-06142008000300012-1	SINTOMA	202	240	dolor aumenta con la tos e inspiración	427146008	EXACT	False	False	False
es-S0376-78922007000300006-3	SINTOMA	369	407	dolor con la extensión pasiva del dedo	299112005	NARROW	False	False	False
