filename	mark	label	off0	off1	term	code	semantic_rel
es-S1135-76062013000200010-1	T12	ENFERMEDAD	335	404	cesárea, durante la cual se produjo una hemorragia intensa por atonía	27214003	NARROW
es-S1130-01082006000900014-1	T2	ENFERMEDAD	1689	1720	neoplasia de cabeza de páncreas	126860002	EXACT
es-S1130-01082006000900014-1	T3	ENFERMEDAD	1525	1547	obstrucción de catéter	275413005	EXACT
es-S1130-01082006000900014-1	T6	ENFERMEDAD	2719	2776	pseudoaneurisma de rama intrahepática de arteria hepática	315033000	NARROW
es-S1130-01082006000900014-1	T7	ENFERMEDAD	561	582	colédoco muy dilatado	118926004	NARROW
es-S1130-01082006000900014-1	T11	ENFERMEDAD	1196	1289	moderada dilatación de colédoco secundario a obstrucción a nivel de porción distal de duodeno	1082431000119108	NARROW
es-S1130-01082006000900014-1	T12	ENFERMEDAD	2365	2416	pseudoaneurisma de 1 cm en rama de arteria hepática	315033000	NARROW
es-S1130-01082006000900014-1	T13	ENFERMEDAD	1241	1289	obstrucción a nivel de porción distal de duodeno	95532008	NARROW
es-S1130-01082006000900014-1	T14	ENFERMEDAD	2532	2580	tortuosidad de tronco celíaco y arteria hepática	460885001	NARROW
es-S1130-01082006000900014-1	T18	ENFERMEDAD	864	890	vesícula biliar distendida	300344005	EXACT
es-S1130-01082006000900014-1	T19	ENFERMEDAD	1511	1520	hemobilia	66556007	EXACT
es-S1130-01082008000300010-1	T9	ENFERMEDAD	2912	2937	bronquiolitis obliterante	40100001	EXACT
es-S1698-69462006000100006-1	T2	ENFERMEDAD	1721	1740	síndrome miofascial	726531007	EXACT
es-S1698-69462006000100006-1	T4	ENFERMEDAD	701	720	síndrome miofascial	726531007	EXACT
es-S1134-80462014000500004-1	T2	ENFERMEDAD	993	1018	Intolerancia al metamizol	698088001	EXACT
es-S1134-80462014000500004-1	T4	ENFERMEDAD	1022	1057	Síndrome ansioso-depresivo reactivo	782501005	EXACT
es-S1134-80462014000500004-1	T5	ENFERMEDAD	164	200	Fibrodisplasia osificante progresiva	44551007	NARROW
es-S1134-80462014000500004-1	T7	ENFERMEDAD	1074	1161	insuficiencia respiratoria hipercápnica secundaria a trastorno ventilatorio restrictivo	709109004	NARROW
es-S1134-80462014000500004-1	T8	ENFERMEDAD	619	719	exostosis a nivel de rodilla derecha, y en la primera articulación metatarsofalángica bilateralmente	416189003	NARROW
es-S1134-80462014000500004-1	T11	ENFERMEDAD	236	293	Fusión a nivel de cuerpos vertebrales de columna cervical	81099000	EXACT
es-S1134-80462014000500004-1	T12	ENFERMEDAD	2765	2804	episodios dolorosos por neo-osificación	128491006	NARROW
es-S1134-80462014000500004-1	T13	ENFERMEDAD	295	467	osificaciones múltiples a nivel de musculatura paravertebral cervical, dorsal, lumbar, cintura escapular bilateral, articulaciones coxofemorales, muslos, rodillas y abdomen	44551007	NARROW
es-S1134-80462014000500004-1	T15	ENFERMEDAD	2397	2424	osificaciones heterotópicas	128491006	EXACT
es-S1134-80462014000500004-1	T17	ENFERMEDAD	2657	2672	cuadros virales	34014006	EXACT
es-S1134-80462014000500004-1	T18	ENFERMEDAD	2568	2592	nuevas formaciones óseas	61838003	EXACT
es-S1134-80462014000500004-1	T19	ENFERMEDAD	2789	2804	neo-osificación	83323007	NARROW
es-S1130-01082007001100010-1	T2	ENFERMEDAD	42	56	hemocromatosis	399187006	EXACT
es-S1130-01082007001100010-1	T4	ENFERMEDAD	1389	1419	descompensación hidrópica leve	276879000	NARROW
es-S1130-01082007001100010-1	T10	ENFERMEDAD	562	583	shunt porto-sistémico	67307004	NARROW
es-S1130-01082007001100010-1	T12	ENFERMEDAD	1055	1092	flujo hepatófugo en la vena esplénica	234131004	NARROW
es-S1130-01082007001100010-1	T13	ENFERMEDAD	1113	1148	circulación colateral periesplénica	56073001	NARROW
es-S1130-05582017000200119-1	T1	ENFERMEDAD	1519	1573	teratoma quístico maduro benigno de glándula parotídea	92279000	NARROW
es-S1130-05582017000200119-1	T3	ENFERMEDAD	982	1009	teratoma quístico parotídeo	92279000	NARROW
es-S1139-76322016000200013-1	T1	ENFERMEDAD	968	993	déficit de miofosforilasa	29633007	NARROW
es-S1139-76322016000200013-1	T2	ENFERMEDAD	1208	1229	enfermedad de McArdle	55912009	EXACT
es-S1139-76322016000200013-1	T3	ENFERMEDAD	1340	1353	rabdomiólisis	240131006	EXACT
es-S0212-16112010000100017-1	T1	ENFERMEDAD	1490	1527	desnutrición energético-proteica leve	190603003	EXACT
es-S0212-16112010000100017-1	T2	ENFERMEDAD	70	94	quilotórax posquirúrgico	83035003	NARROW
es-S0212-16112010000100017-1	T4	ENFERMEDAD	112	127	cáncer de sigma	363410008	EXACT
es-S0212-16112010000100017-1	T6	ENFERMEDAD	2372	2396	derrame pleural loculado	427895005	EXACT
es-S0212-16112010000100017-1	T7	ENFERMEDAD	268	278	quilotórax	83035003	EXACT
es-S0212-16112010000100017-1	T8	ENFERMEDAD	4550	4585	déficit de ácidos grasos esenciales	238114000	EXACT
es-S0212-16112010000100017-1	T9	ENFERMEDAD	658	668	quilotórax	83035003	EXACT
es-S0212-16112010000100017-1	T10	ENFERMEDAD	2860	2873	hiperglucemia	80394007	EXACT
es-S0212-16112010000100017-1	T11	ENFERMEDAD	2895	2924	reacción adversa a octreótido	293289007	EXACT
es-S1130-01082007000100009-1	T1	ENFERMEDAD	78	137	lesiones nodulares glúteas dolorosas, con drenaje purulento	700011003	NARROW
es-S1130-01082007000100009-1	T2	ENFERMEDAD	177	217	foliculitis quística profunda supurativa	399008001	NARROW
es-S1130-01082007000100009-1	T3	ENFERMEDAD	234	249	acné conglobata	42228007	EXACT
es-S1130-01082007000100009-1	T7	ENFERMEDAD	1046	1105	recto y colon transverso, así como dos orificios fistulosos	235777009	NARROW
es-S1130-01082007000100009-1	T8	ENFERMEDAD	1141	1200	enfermedad inflamatoria intestinal tipo enfermedad de Crohn	397173003	EXACT
es-S1130-01082007000100009-1	T11	ENFERMEDAD	1539	1554	acné conglobata	42228007	EXACT
es-S0211-69952009000600023-1	T3	ENFERMEDAD	2475	2519	atrofia casi total del nervio óptico derecho	15632811000119100	NARROW
es-S0211-69952009000600023-1	T4	ENFERMEDAD	53	57	GEFS	236403004	EXACT
es-S0211-69952009000600023-1	T6	ENFERMEDAD	2558	2598	atrofia total de nervio óptico izquierdo	15632851000119104	EXACT
es-S0211-69952009000600023-1	T14	ENFERMEDAD	1025	1075	pérdida parcial de la visión del OD y total del OI	343051000119108	EXACT
es-S1130-14732005000200009-1	T2	ENFERMEDAD	358	430	malformaciones o anomalías asociadas a nivel de sistema nervioso central	128124001	EXACT
es-S0211-69952012000700028-1	T1	ENFERMEDAD	134	159	hernia inguinal bilateral	85502002	EXACT
es-S0211-69952012000700028-1	T6	ENFERMEDAD	3040	3069	nefropatía de cambios mínimos	90708001	NARROW
es-S0211-69952012000700028-1	T7	ENFERMEDAD	3071	3074	NCM	44785005	EXACT
es-S0365-66912012000800005-1	T1	ENFERMEDAD	35	58	síndrome de Klinefelter	22053006	EXACT
es-S0365-66912012000800005-1	T2	ENFERMEDAD	665	699	foseta congénita del nervio óptico	95502000	NARROW
es-S0365-66912012000800005-1	T6	ENFERMEDAD	1322	1333	maculopatía	312999006	EXACT
es-S0365-66912012000800005-1	T8	ENFERMEDAD	1641	1699	agujero macular lamelar en las capas externas de la retina	677871000119105	EXACT
es-S0376-78922009000100014-1	T1	ENFERMEDAD	1234	1264	infiltración de toda la dermis	372130007	NARROW
es-S0376-78922009000100014-1	T4	ENFERMEDAD	1461	1486	fibrohistiocitoma maligno	443439001	EXACT
es-S0376-78922009000100014-1	T11	ENFERMEDAD	3616	3643	siringoma condroide maligno	254712007	NARROW
es-S0004-06142008000300011-1	T2	ENFERMEDAD	34	36	SK	109385007	EXACT
es-S0004-06142008000300011-1	T8	ENFERMEDAD	596	610	situs inversus	27317008	EXACT
es-S0004-06142008000300011-1	T9	ENFERMEDAD	1318	1349	Neoplasia germinal intratubular	713646001	NARROW
es-S1130-14732006000200011-1	T3	ENFERMEDAD	224	244	hemofilia A moderada	33344008	EXACT
es-S1130-14732006000200011-1	T4	ENFERMEDAD	989	1049	lesión osteolítica de márgenes escleróticos a nivel parietal	30425001	NARROW
es-S1130-14732006000200011-1	T6	ENFERMEDAD	274	287	escafocefalia	109418001	EXACT
es-S1130-14732006000200011-1	T7	ENFERMEDAD	375	423	hematoma intraparenquimatoso cerebral espontáneo	431266005	NARROW
es-S1575-06202010000200004-1	T1	ENFERMEDAD	504	546	neumonías extrahospitalarias de repetición	699014000	EXACT
es-S1575-06202010000200004-1	T3	ENFERMEDAD	689	710	dermatitis seborreica	50563003	EXACT
es-S1575-06202010000200004-1	T6	ENFERMEDAD	642	679	lesiones cerebrales por toxoplasmosis	192701001	NARROW
es-S1575-06202010000200004-1	T9	ENFERMEDAD	55	69	politoxicómano	429299000	EXACT
es-S1575-06202010000200004-1	T10	ENFERMEDAD	93	97	UDVP	6525002	NARROW
es-S1575-06202010000200004-1	T11	ENFERMEDAD	896	988	lesiones se extendieron a tronco y extremidades, incluyendo plantas y palmas de pies y manos	725119006	NARROW
es-S1575-06202010000200004-1	T12	ENFERMEDAD	206	237	coinfección por el VIH y el VHC	442134007	EXACT
es-S1134-80462009000200004-1	T1	ENFERMEDAD	66	81	asma extrínseca	389146007	EXACT
es-S1134-80462009000200004-1	T2	ENFERMEDAD	810	839	malformación de Chiari tipo I	253185002	EXACT
es-S1134-80462009000200004-1	T3	ENFERMEDAD	1383	1403	síndrome de Chiari I	253185002	EXACT
es-S1134-80462009000200004-1	T4	ENFERMEDAD	211	235	punción dural accidental	830275007	EXACT
es-S1698-69462006000200016-1	T2	ENFERMEDAD	915	930	diente incluido	38127003	EXACT
es-S1698-69462006000200016-1	T3	ENFERMEDAD	1145	1160	diente incluido	38127003	EXACT
es-S1698-69462006000200016-1	T4	ENFERMEDAD	144	193	inadecuada posición del canino inferior izquierdo	81256000	NARROW
es-S1698-69462006000200016-1	T6	ENFERMEDAD	801	826	transmigración del canino	278658009	NARROW
es-S0212-71992004001100006-1	T1	ENFERMEDAD	3701	3716	paquimeningitis	25822001	EXACT
es-S0212-71992004001100006-1	T5	ENFERMEDAD	131	156	asma bronquial extrínseca	389145006	EXACT
es-S0212-71992004001100006-1	T6	ENFERMEDAD	4294	4307	tumor mamario	126926005	EXACT
es-S0212-71992004001100006-1	T9	ENFERMEDAD	1420	1443	edema en ambos párpados	15732321000119108	EXACT
es-S0212-71992004001100006-1	T10	ENFERMEDAD	372	390	arteritis temporal	400130008	EXACT
es-S0212-71992004001100006-1	T22	ENFERMEDAD	945	954	arteritis	52089001	EXACT
es-S0212-71992004001100006-1	T24	ENFERMEDAD	3377	3404	osteosclerosis generalizada	49347007	EXACT
es-S0212-71992004001100006-1	T29	ENFERMEDAD	1054	1087	crisis de sacudidas en hemicuerpo	26079004	NARROW
es-S1137-66272011000300024-1	T1	ENFERMEDAD	2453	2487	panadizo creció Klebsiella oxytoca	247517004	NARROW
es-S1137-66272011000300024-1	T3	ENFERMEDAD	2569	2587	diabetes tipo MODY	609561005	EXACT
es-S1137-66272011000300024-1	T4	ENFERMEDAD	2030	2043	útero bicorne	31401003	EXACT
es-S1137-66272011000300024-1	T5	ENFERMEDAD	2130	2158	agenesia dorsal del páncreas	719044008	NARROW
es-S1137-66272011000300024-1	T7	ENFERMEDAD	2501	2548	vulvovaginal fue positivo para Candida albicans	72605008	EXACT
es-S1137-66272011000300024-1	T9	ENFERMEDAD	96	116	agenesia pancreática	82949000	EXACT
es-S1137-66272011000300024-1	T11	ENFERMEDAD	2674	2751	delección en heterozigosis de, al menos, los exones del 1 al 8 del gen HNF1 β	782964007	NARROW
es-S1137-66272011000300024-1	T14	ENFERMEDAD	3201	3221	dermopatía diabética	238982009	EXACT
es-S1137-66272011000300024-1	T16	ENFERMEDAD	211	263	descompensación hiperglucémica cetósica no acidótica	74627003	NARROW
es-S1137-66272011000300024-1	T17	ENFERMEDAD	718	728	paroniquia	71906005	EXACT
es-S1137-66272011000300024-1	T19	ENFERMEDAD	1220	1284	Lesiones eritematosas y pruriginosas en región vulvar y perianal	700079006	NARROW
es-S1137-66272011000300024-1	T21	ENFERMEDAD	1312	1342	Paroniquia en cuarto dedo mano	444646006	NARROW
es-S1137-66272011000300024-1	T22	ENFERMEDAD	1352	1400	Dermopatía diabética extensa en piernas y brazos	238982009	NARROW
es-S0365-66912012000700004-1	T3	ENFERMEDAD	311	329	lenticono anterior	95480008	EXACT
es-S0365-66912012000700004-1	T4	ENFERMEDAD	161	171	sordomudos	61947007	EXACT
es-S0365-66912012000700004-1	T5	ENFERMEDAD	384	400	AM en ambos ojos	677851000119101	EXACT
es-S0365-66912012000700004-1	T6	ENFERMEDAD	590	592	AM	232006002	EXACT
es-S0365-66912012000700004-1	T9	ENFERMEDAD	950	952	AM	232006002	EXACT
es-S1698-44472004000400012-1	T2	ENFERMEDAD	115	156	tercer molar inferior derecho erupcionado	300233000	NARROW
es-S1698-44472004000400012-1	T12	ENFERMEDAD	2707	2727	lesiones vertebrales	410730009	EXACT
es-S0365-66912006000900010-1	T1	ENFERMEDAD	328	394	glaucoma agudo secundario a dicha masa presente en cámara anterior	788947003	NARROW
es-S0365-66912006000900010-1	T2	ENFERMEDAD	587	602	melanoma ocular	274087000	EXACT
es-S0365-66912006000900010-1	T3	ENFERMEDAD	797	817	melanoma de coroides	127001008	NARROW
es-S0365-66912006000900010-1	T5	ENFERMEDAD	2027	2086	melanoma uveal difuso, con perforación de la pared escleral	274087000	NARROW
es-S0365-66912006000900010-1	T6	ENFERMEDAD	107	121	pérdida visual	40031005	EXACT
es-S0365-66912006000900010-1	T7	ENFERMEDAD	1178	1195	invasión escleral	188266000	NARROW
es-S1137-66272013000200023-1	T10	ENFERMEDAD	3824	3867	IAM inferoposterior y de ventrículo derecho	703251009	EXACT
es-S1137-66272013000200023-1	T13	ENFERMEDAD	1707	1797	carcinoma de urotelio poco diferenciado, de alto grado, variante de células plasmocitoides	254913005	NARROW
es-S1130-01082008000900011-1	T2	ENFERMEDAD	2808	2838	quiste de duplicación gástrico	721161005	EXACT
es-S0365-66912009000300009-1	T1	ENFERMEDAD	42	62	conjuntivitis vírica	45261009	EXACT
es-S0365-66912009000300009-1	T2	ENFERMEDAD	219	237	condilomas en pene	92286008	NARROW
es-S0365-66912009000300009-1	T3	ENFERMEDAD	242	251	uretritis	31822004	EXACT
es-S0365-66912009000300009-1	T4	ENFERMEDAD	1031	1056	fibrosis corneal superior	95736009	NARROW
es-S0004-06142008000500009-1	T1	ENFERMEDAD	45	66	endometriosis ovárica	266589005	EXACT
es-S0004-06142008000500009-1	T2	ENFERMEDAD	142	155	endometriosis	129103003	EXACT
es-S0004-06142008000500009-1	T3	ENFERMEDAD	1026	1067	urinoma por ligadura o sección del uréter	236608000	NARROW
es-S0004-06142008000500009-1	T4	ENFERMEDAD	408	421	ectasia renal	371011007	EXACT
es-S0004-06142008000500009-1	T6	ENFERMEDAD	1157	1164	urinoma	236609008	EXACT
es-S0211-69952016000600552-1	T1	ENFERMEDAD	578	594	enfermedad renal	90708001	EXACT
es-S0211-69952016000600552-1	T2	ENFERMEDAD	1941	1976	calcificaciones renales bilaterales	48638002	EXACT
es-S0211-69952016000600552-1	T4	ENFERMEDAD	2011	2025	hipomagnesemia	190855004	EXACT
es-S0211-69952016000600552-1	T6	ENFERMEDAD	4406	4422	enfermedad renal	90708001	EXACT
es-S0211-69952016000600552-1	T8	ENFERMEDAD	4643	4658	nefrocalcinosis	48638002	EXACT
es-S0211-69952016000600552-1	T10	ENFERMEDAD	4939	4954	nefrocalcinosis	48638002	EXACT
es-S0211-69952016000600552-1	T11	ENFERMEDAD	5132	5182	acidosis tubular renal distal autosómica dominante	236461000	EXACT
es-S0211-69952016000600552-1	T12	ENFERMEDAD	5184	5190	ATR-AD	1776003	NARROW
es-S0211-69952016000600552-1	T13	ENFERMEDAD	5626	5676	acidosis tubular renal distal autosómica dominante	236461000	EXACT
es-S0211-69952016000600552-1	T14	ENFERMEDAD	3895	3907	status focal	241006	EXACT
es-S0211-69952016000600552-1	T15	ENFERMEDAD	4020	4038	actividad comicial	313307000	EXACT
es-S0212-16112007000100015-1	T1	ENFERMEDAD	1416	1449	intoxicación aguda por metformina	241747006	NARROW
es-S0212-16112007000100015-1	T2	ENFERMEDAD	2006	2014	acidosis	51387008	EXACT
es-S0212-16112007000100015-1	T7	ENFERMEDAD	205	252	isquemia crónica en las extremidades inferiores	233961000	NARROW
es-S0212-16112007000100015-1	T9	ENFERMEDAD	1767	1775	acidosis	51387008	EXACT
es-S0212-16112007000100015-1	T10	ENFERMEDAD	1252	1274	acidosis láctica grave	91273001	NARROW
es-S0210-48062005000700012-1	T2	ENFERMEDAD	1395	1424	abscesos de psoas bilaterales	266463007	NARROW
es-S0210-48062005000700012-1	T3	ENFERMEDAD	122	141	prostatitis crónica	19905009	EXACT
es-S0210-48062005000700012-1	T4	ENFERMEDAD	1485	1511	espondilodiscitis en L5-S1	203241002	NARROW
es-S0210-48062005000700012-1	T5	ENFERMEDAD	955	978	espondilodiscitis L5-S1	203241002	NARROW
es-S0210-48062005000700012-1	T6	ENFERMEDAD	1027	1053	absceso de psoas bilateral	266463007	NARROW
es-S0210-48062005000700012-1	T7	ENFERMEDAD	1265	1286	colecciones del psoas	266463007	EXACT
es-S0365-66912007000200009-1	T2	ENFERMEDAD	1413	1543	lesiones desmielinizantes múltiples de la sustancia blanca subcortical y periventricular con afectación de la unión calloso-septal	16058431000119104	NARROW
es-S0365-66912007000200009-1	T6	ENFERMEDAD	1883	1939	neuritis óptica retrobulbar de etiología desmielinizante	230507009	NARROW
es-S0365-66912007000200009-1	T7	ENFERMEDAD	594	627	defecto pupilar aferente relativo	232122003	EXACT
es-S1887-85712016000100005-1	T2	ENFERMEDAD	112	130	carcinoma de recto	254582000	EXACT
es-S1887-85712016000100005-1	T3	ENFERMEDAD	512	519	SCASEST	401314000	EXACT
es-S1887-85712016000100005-1	T4	ENFERMEDAD	1687	1729	síndrome compartimental agudo en antebrazo	212381005	NARROW
es-S1887-85712016000100005-1	T7	ENFERMEDAD	906	994	hematoma en cara volar de antebrazo derecho en relación a zona de punción de cateterismo	274179004	NARROW
es-S1887-85712016000100005-1	T9	ENFERMEDAD	1387	1414	parálisis total del miembro	44695005	NARROW
es-S0211-69952014000600016-1	T3	ENFERMEDAD	261	293	viruria (107 copias/ml) para BKV	431258001	NARROW
es-S0365-66912004001100012-1	T2	ENFERMEDAD	287	302	coriorretinitis	46627006	EXACT
es-S0365-66912004001100012-1	T3	ENFERMEDAD	422	450	coriorretinitis toxoplásmica	187194004	EXACT
es-S0365-66912004001100012-1	T4	ENFERMEDAD	723	733	neumonitis	205237003	EXACT
es-S0365-66912004001100012-1	T5	ENFERMEDAD	736	745	balanitis	44882003	EXACT
es-S0365-66912004001100012-1	T6	ENFERMEDAD	778	807	hiposfagma bilateral superior	40788000	NARROW
es-S0365-66912004001100012-1	T7	ENFERMEDAD	809	833	conjuntivitis membranosa	102451006	EXACT
es-S0365-66912004001100012-1	T8	ENFERMEDAD	861	899	queratopatía superficial en ambos ojos	343321000119102	EXACT
es-S0365-66912004001100012-1	T9	ENFERMEDAD	1131	1163	SSJ secundario a la sulfadiacina	403609001	NARROW
es-S0365-66912004001100012-1	T10	ENFERMEDAD	1217	1237	toxoplasmosis ocular	416481006	EXACT
es-S0365-66912004001100012-1	T11	ENFERMEDAD	2103	2113	hiposfagma	40788000	EXACT
es-S0365-66912004001100012-1	T14	ENFERMEDAD	697	721	vesículas en mucosa oral	249400000	NARROW
es-S1130-05582003000600004-2	T1	ENFERMEDAD	1499	1540	destrucción del tabique intersinuso-nasal	7393007	NARROW
es-S1130-05582003000600004-2	T3	ENFERMEDAD	571	594	ausencia de la pieza 25	109674000	NARROW
es-S1130-05582003000600004-2	T4	ENFERMEDAD	526	568	obturaciones en piezas 21, 22, 24, 26 y 27	278550007	NARROW
es-S1130-05582003000600004-2	T15	ENFERMEDAD	349	380	desviación de la pirámide nasal	249316004	EXACT
es-S1130-05582003000600004-2	T16	ENFERMEDAD	390	424	obstrucción subjetiva de la narina	118237005	NARROW
es-S0210-48062004000800009-1	T2	ENFERMEDAD	1237	1249	quiste renal	77945009	EXACT
es-S0210-48062004000800009-1	T3	ENFERMEDAD	1467	1525	carcinoma de células claras renales, quístico multilocular	734014001	NARROW
es-S1130-01082007001100009-1	T1	ENFERMEDAD	590	628	pólipos milimétricos en ampolla rectal	39772007	EXACT
es-S1130-01082007001100009-1	T3	ENFERMEDAD	630	676	hemorroides internas (una de ellas prolapsada)	80426004	EXACT
es-S1130-01082007001100009-1	T6	ENFERMEDAD	1000	1019	úlcera estercorárea	235767007	EXACT
es-S1130-01082007001100009-1	T7	ENFERMEDAD	1022	1060	síndrome de la úlcera rectal solitaria	716685003	EXACT
es-S1130-01082007001100009-1	T8	ENFERMEDAD	1289	1327	síndrome de la úlcera rectal solitaria	716685003	EXACT
es-S0210-48062007000300014-1	T1	ENFERMEDAD	909	921	infertilidad	8619003	EXACT
es-S0210-48062007000300014-1	T3	ENFERMEDAD	1876	1899	teratozoospermia severa	236817003	NARROW
es-S0210-48062007000300014-1	T8	ENFERMEDAD	1839	1854	Oligozoospermia	88311004	EXACT
es-S0210-48062007000300014-1	T9	ENFERMEDAD	1856	1872	astenozoospermia	24463005	EXACT
es-S1130-01082009000400012-1	T3	ENFERMEDAD	1180	1206	absceso en lóbulo inferior	73452002	NARROW
es-S1130-01082009000400012-1	T4	ENFERMEDAD	1490	1513	fístula esófago-pleural	235639009	NARROW
es-S1130-01082009000400012-1	T5	ENFERMEDAD	386	409	fístula esófago-pleural	235639009	NARROW
es-S1137-66272014000200013-1	T1	ENFERMEDAD	179	200	carcinoma de próstata	254900004	EXACT
es-S1137-66272014000200013-1	T4	ENFERMEDAD	452	468	catarata nuclear	53889007	EXACT
es-S1137-66272014000200013-1	T6	ENFERMEDAD	613	661	lesión lobulada que ocupaba 4/5 de cámara vítrea	285654002	NARROW
es-S1137-66272014000200013-1	T7	ENFERMEDAD	690	692	MC	255021005	EXACT
es-S1137-66272014000200013-1	T11	ENFERMEDAD	1643	1645	MC	255021005	EXACT
es-S1137-66272014000200013-1	T13	ENFERMEDAD	59	93	pérdida de visión de ojo izquierdo	274571007	EXACT
es-S0211-69952015000500015-2	T2	ENFERMEDAD	100	162	trasplante renal inmediatamente fallido por trombosis arterial	236583003	NARROW
es-S0211-69952015000500015-2	T3	ENFERMEDAD	144	162	trombosis arterial	65198009	EXACT
es-S1130-05582010000200004-1	T2	ENFERMEDAD	787	811	ORN de cuerpo mandibular	109716001	EXACT
es-S1130-05582010000200004-1	T4	ENFERMEDAD	1233	1252	fractura patológica	268029009	EXACT
es-S1130-05582010000200004-1	T5	ENFERMEDAD	1939	1972	infecciones locales de repetición	428875002	EXACT
es-S1130-05582010000200004-1	T7	ENFERMEDAD	673	701	fístula en ángulo mandibular	20674003	NARROW
es-S1130-05582010000200004-1	T8	ENFERMEDAD	1725	1742	fístula extraoral	20674003	NARROW
es-S1130-05582010000200004-1	T9	ENFERMEDAD	2151	2175	ORN de cuerpo mandibular	109716001	EXACT
es-S1130-05582010000200004-1	T12	ENFERMEDAD	2053	2103	episodio inflamatorio fistulizado en hemimandíbula	714751007	EXACT
es-S0376-78922009000300005-1	T2	ENFERMEDAD	76	120	infecciones de repetición en el área genital	312155003	NARROW
es-S0376-78922009000300005-1	T4	ENFERMEDAD	1125	1141	úlceras crónicas	405719001	EXACT
es-S0376-78922009000300005-1	T6	ENFERMEDAD	205	237	infecciones por Cándida albicans	83062006	EXACT
es-S0376-78922009000300005-1	T7	ENFERMEDAD	3382	3426	fisura junto a la comisura vaginal posterior	25658005	NARROW
es-S0376-78922009000300005-1	T8	ENFERMEDAD	286	300	herpes genital	33839006	EXACT
es-S0376-78922009000300005-1	T13	ENFERMEDAD	2801	2818	úlceras vaginales	31066003	EXACT
es-S0376-78922009000300005-1	T16	ENFERMEDAD	780	791	vagina seca	289597006	NARROW
es-S1135-76062014000100006-1	T1	ENFERMEDAD	557	601	cicatriz de laparotomía media supraumbilical	422411000	NARROW
es-S1135-76062014000100006-1	T2	ENFERMEDAD	796	895	hemopericardio secundario a rotura de infarto transmural en la pared libre del ventrículo izquierdo	233889001	NARROW
es-S1135-76062014000100006-1	T4	ENFERMEDAD	1306	1398	fibrosis cicatricial evolucionada y calcificada en relación con restos de material de sutura	201307004	NARROW
es-S1135-76062014000100006-1	T7	ENFERMEDAD	898	946	aterosclerosis coronaria grave de los tres vasos	443502000	NARROW
es-S1139-76322016000300015-1	T1	ENFERMEDAD	49	73	ombligo poco cicatrizado	397320006	NARROW
es-S1139-76322016000300015-1	T2	ENFERMEDAD	367	443	cordón umbilical, que tiene aspecto mucoso, y un pequeño desgarro en la base	237310000	NARROW
es-S1139-76322016000300015-1	T3	ENFERMEDAD	737	774	cordón umbilical presentaba un quiste	249189006	NARROW
es-S1139-76322016000300015-1	T5	ENFERMEDAD	469	484	infección local	10443009	EXACT
es-S1139-76322016000300015-1	T6	ENFERMEDAD	853	882	quiste de gelatina de Wharton	249189006	EXACT
es-S1139-76322016000300015-1	T7	ENFERMEDAD	1705	1727	persistencia del uraco	429260008	NARROW
es-S1139-76322016000300015-1	T8	ENFERMEDAD	1734	1749	uraco permeable	398316009	EXACT
es-S1139-76322016000300015-1	T9	ENFERMEDAD	1177	1204	desgarro en base del cordón	373680009	EXACT
es-S1139-76322016000300015-1	T10	ENFERMEDAD	1541	1559	trayecto fistuloso	271766002	EXACT
es-S1130-01082009000900012-1	T1	ENFERMEDAD	1545	1564	quiste broncogénico	9550003	EXACT
